PS C:\Webster> Get-Command get-* -Module XenServerPSModule

CommandType     Name                                               Version    Source
Cmdlet          Get-XenVGPU                                        8.2.3      XenServerPSModule
Cmdlet          Get-XenVGPUProperty                                8.2.3      XenServerPSModule
Cmdlet          Get-XenVGPUType                                    8.2.3      XenServerPSModule
Cmdlet          Get-XenVGPUTypeProperty                            8.2.3      XenServerPSModule
Cmdlet          Get-XenVIF                                         8.2.3      XenServerPSModule
Cmdlet          Get-XenVIFMetrics                                  8.2.3      XenServerPSModule
Cmdlet          Get-XenVIFMetricsProperty                          8.2.3      XenServerPSModule
Cmdlet          Get-XenVIFProperty                                 8.2.3      XenServerPSModule
Cmdlet          Get-XenVLAN                                        8.2.3      XenServerPSModule
Cmdlet          Get-XenVLANProperty                                8.2.3      XenServerPSModule
Cmdlet          Get-XenVM                                          8.2.3      XenServerPSModule
Cmdlet          Get-XenVMAppliance                                 8.2.3      XenServerPSModule
Cmdlet          Get-XenVMApplianceProperty                         8.2.3      XenServerPSModule
Cmdlet          Get-XenVMGuestMetrics                              8.2.3      XenServerPSModule
Cmdlet          Get-XenVMGuestMetricsProperty                      8.2.3      XenServerPSModule
Cmdlet          Get-XenVMMetrics                                   8.2.3      XenServerPSModule
Cmdlet          Get-XenVMMetricsProperty                           8.2.3      XenServerPSModule
Cmdlet          Get-XenVMPP                                        8.2.3      XenServerPSModule
Cmdlet          Get-XenVMPPProperty                                8.2.3      XenServerPSModule
Cmdlet          Get-XenVMProperty                                  8.2.3      XenServerPSModule
Cmdlet          Get-XenVMSS                                        8.2.3      XenServerPSModule
Cmdlet          Get-XenVMSSProperty                                8.2.3      XenServerPSModule
Cmdlet          Get-XenVTPMProperty                                8.2.3      XenServerPSModule
Cmdlet          Get-XenVUSB                                        8.2.3      XenServerPSModule
Cmdlet          Get-XenVUSBProperty                                8.2.3      XenServerPSModule


PS C:\Webster>
